Entry_Time,Exit_Time,Type,Entry_Price,Exit_Price,PnL,Balance,Reason
2025-12-16 13:47:00,2025-12-16 13:58:00,BUY,114.3,102.8,-862.5,9137.5,SL Hit
2025-12-17 09:37:00,2025-12-17 09:43:00,BUY,100.45,88.0,-933.75,8203.75,SL Hit
2025-12-18 10:25:00,2025-12-18 10:36:00,BUY,55.2,59.8,345.0,8548.75,SL Hit
2025-12-18 10:37:00,2025-12-18 11:14:00,BUY,60.2,52.0,-615.0,7933.75,SL Hit
2025-12-18 11:37:00,2025-12-18 12:50:00,BUY,60.0,64.3,322.5,8256.25,SL Hit
2025-12-18 13:08:00,2025-12-18 13:32:00,BUY,63.75,53.9,-738.75,7517.5,SL Hit
2025-12-19 09:31:00,2025-12-19 09:49:00,BUY,82.3,73.3,-675.0,6842.5,SL Hit
2025-12-19 09:58:00,2025-12-19 10:05:00,BUY,78.8,69.1,-727.5,6115.0,SL Hit
2025-12-19 10:28:00,2025-12-19 11:06:00,BUY,75.85,67.05,-660.0,5455.0,SL Hit
2025-12-19 12:38:00,2025-12-19 13:12:00,BUY,62.35,53.0,-701.25,4753.75,SL Hit
2025-12-19 13:32:00,2025-12-19 14:26:00,BUY,62.95,68.75,435.0,5188.75,SL Hit
