Entry_Time,Exit_Time,Strategy,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:53:56,09:58:37,STRATEGY_A_3min,NIFTY2610626000PE,PE,26000,86.9,81.8,89.7,-382.5,-5.87,9617.5,STOP_LOSS
10:00:20,10:02:40,STRATEGY_A_3min,NIFTY2610626000PE,PE,26000,87.6,80.5,88.75,-532.5,-8.11,9085.0,STOP_LOSS
10:04:23,10:10:41,STRATEGY_A_3min,NIFTY2610626000PE,PE,26000,85.1,80.1,91.8,-375.0,-5.88,8710.0,STOP_LOSS
10:14:08,10:31:26,STRATEGY_A_3min,NIFTY2610626050CE,CE,26050,101.3,114.35,114.35,978.75,12.88,9688.75,TARGET
10:32:38,10:41:40,STRATEGY_A_3min,NIFTY2610626050CE,CE,26050,116.1,126.5,126.5,780.0,8.96,10468.75,TARGET
10:42:49,10:47:51,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,101.5,96.15,101.75,-401.25,-5.27,10067.5,STOP_LOSS
10:49:35,11:19:39,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,95,97.25,100.65,168.75,2.37,10236.25,TIME_EXIT
11:20:44,11:30:15,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,95.1,89.65,95.7,-408.75,-5.73,9827.5,STOP_LOSS
11:34:07,12:04:07,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,94.6,105,105,780.0,10.99,10607.5,TARGET
12:05:16,12:09:02,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,103.7,113.75,113.75,753.75,9.69,11361.25,TARGET
12:10:12,12:33:26,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,109.65,123.7,123.7,1053.75,12.81,12415.0,TARGET
12:34:28,12:46:03,STRATEGY_A_3min,NIFTY2610626100CE,CE,26100,122.15,134.6,134.6,933.75,10.19,13348.75,TARGET
12:47:07,12:52:23,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,108.4,118.4,118.4,750.0,9.23,14098.75,TARGET
12:53:31,13:23:36,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,123.1,125.8,130.85,202.5,2.19,14301.25,TIME_EXIT
13:24:41,13:35:32,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,123.75,116.65,128.35,-532.5,-5.74,13768.75,STOP_LOSS
13:42:29,13:58:19,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,122.85,134.25,134.25,855.0,9.28,14623.75,TARGET
13:59:24,14:00:10,STRATEGY_A_3min,NIFTY2610626200CE,CE,26200,105.95,100.4,105.95,-416.25,-5.24,14207.5,STOP_LOSS
14:03:07,14:17:44,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,127.75,121.1,130.35,-498.75,-5.21,13708.75,STOP_LOSS
14:18:57,14:23:45,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,123.9,118.8,125.55,-382.5,-4.12,13326.25,STOP_LOSS
14:29:06,14:59:27,STRATEGY_A_3min,NIFTY2610626150CE,CE,26150,122.65,125,129.45,176.25,1.92,13502.5,TIME_EXIT
